歌曲id,曲名,分类,难度标签,定数,类别
56,ウッーウッーウマウマ(ﾟ∀ﾟ),流行&动漫,9+,9.7,SD
56,ウッーウッーウマウマ(ﾟ∀ﾟ),流行&动漫,13,13.4,SD
58,Endless World,舞萌,5,5.0,SD
58,Endless World,舞萌,7,7.0,SD
58,Endless World,舞萌,11,11.2,SD
58,Endless World,舞萌,12+,12.8,SD
58,Endless World,舞萌,13,13.4,SD
61,Beat Of Mind,其他游戏,6,6.0,SD
61,Beat Of Mind,其他游戏,9,9.3,SD
61,Beat Of Mind,其他游戏,12+,12.7,SD
61,Beat Of Mind,其他游戏,12,12.5,SD
61,Beat Of Mind,其他游戏,14,14.2,SD
62,檄！帝国華撃団(改),其他游戏,5,5.0,SD
62,檄！帝国華撃団(改),其他游戏,7,7.4,SD
62,檄！帝国華撃団(改),其他游戏,9,9.4,SD
62,檄！帝国華撃団(改),其他游戏,10+,10.7,SD
62,檄！帝国華撃団(改),其他游戏,13,13.1,SD
63,メランコリック,niconico & VOCALOID,7,7.0,SD
63,メランコリック,niconico & VOCALOID,7+,7.8,SD
63,メランコリック,niconico & VOCALOID,9,9.4,SD
63,メランコリック,niconico & VOCALOID,11+,11.7,SD
64,教えて!! 魔法のLyric,niconico & VOCALOID,7,7.0,SD
64,教えて!! 魔法のLyric,niconico & VOCALOID,8,8.0,SD
64,教えて!! 魔法のLyric,niconico & VOCALOID,9+,9.7,SD
64,教えて!! 魔法のLyric,niconico & VOCALOID,12,12.4,SD
65,ZIGG-ZAGG,niconico & VOCALOID,7,7.0,SD
65,ZIGG-ZAGG,niconico & VOCALOID,7+,7.8,SD
65,ZIGG-ZAGG,niconico & VOCALOID,9,9.3,SD
65,ZIGG-ZAGG,niconico & VOCALOID,11,11.4,SD
65,ZIGG-ZAGG,niconico & VOCALOID,12,12.5,SD
66,ワールズエンド・ダンスホール,niconico & VOCALOID,7,7.0,SD
66,ワールズエンド・ダンスホール,niconico & VOCALOID,8,8.4,SD
66,ワールズエンド・ダンスホール,niconico & VOCALOID,9+,9.7,SD
66,ワールズエンド・ダンスホール,niconico & VOCALOID,12+,12.9,SD
66,ワールズエンド・ダンスホール,niconico & VOCALOID,13,13.3,SD
67,パンダヒーロー,niconico & VOCALOID,6,6.0,SD
67,パンダヒーロー,niconico & VOCALOID,7+,7.7,SD
67,パンダヒーロー,niconico & VOCALOID,9+,9.8,SD
67,パンダヒーロー,niconico & VOCALOID,12,12.4,SD
68,オレンジの夏,舞萌,6,6.0,SD
68,オレンジの夏,舞萌,7+,7.6,SD
68,オレンジの夏,舞萌,10,10.0,SD
68,オレンジの夏,舞萌,12,12.4,SD
69,BaBan!! －甘い罠－,舞萌,6,6.0,SD
69,BaBan!! －甘い罠－,舞萌,8+,8.6,SD
69,BaBan!! －甘い罠－,舞萌,12,12.3,SD
69,BaBan!! －甘い罠－,舞萌,12,12.5,SD
70,ジングルベル,舞萌,6,6.0,SD
70,ジングルベル,舞萌,7+,7.9,SD
70,ジングルベル,舞萌,10+,10.9,SD
70,ジングルベル,舞萌,14,14.4,SD
70,ジングルベル,舞萌,14,14.2,SD
71,マトリョシカ,niconico & VOCALOID,6,6.0,SD
71,マトリョシカ,niconico & VOCALOID,8+,8.6,SD
71,マトリョシカ,niconico & VOCALOID,9+,9.7,SD
71,マトリョシカ,niconico & VOCALOID,11+,11.7,SD
71,マトリョシカ,niconico & VOCALOID,13,13.3,SD
73,メグメグ☆ファイアーエンドレスナイト,niconico & VOCALOID,7,7.0,SD
73,メグメグ☆ファイアーエンドレスナイト,niconico & VOCALOID,7+,7.8,SD
73,メグメグ☆ファイアーエンドレスナイト,niconico & VOCALOID,8+,8.8,SD
73,メグメグ☆ファイアーエンドレスナイト,niconico & VOCALOID,11+,11.7,SD
75,天国と地獄,其他游戏,5,5.0,SD
75,天国と地獄,其他游戏,8,8.0,SD
75,天国と地獄,其他游戏,10,10.0,SD
75,天国と地獄,其他游戏,13,13.4,SD
76,きみのためなら死ねる,其他游戏,4,4.0,SD
76,きみのためなら死ねる,其他游戏,7,7.0,SD
76,きみのためなら死ねる,其他游戏,10,10.0,SD
76,きみのためなら死ねる,其他游戏,12,12.5,SD
77,怪盗Rのテーマ,其他游戏,5,5.0,SD
77,怪盗Rのテーマ,其他游戏,7+,7.8,SD
77,怪盗Rのテーマ,其他游戏,10+,10.6,SD
77,怪盗Rのテーマ,其他游戏,12+,12.7,SD
78,マリアをはげませ,其他游戏,5,5.0,SD
78,マリアをはげませ,其他游戏,7,7.0,SD
78,マリアをはげませ,其他游戏,8+,8.7,SD
78,マリアをはげませ,其他游戏,11+,11.9,SD
79,SHOW TIME,其他游戏,5,5.0,SD
79,SHOW TIME,其他游戏,6,6.6,SD
79,SHOW TIME,其他游戏,8+,8.9,SD
79,SHOW TIME,其他游戏,12,12.5,SD
80,City Escape: Act1,其他游戏,5,5.0,SD
80,City Escape: Act1,其他游戏,6,6.2,SD
80,City Escape: Act1,其他游戏,9+,9.7,SD
80,City Escape: Act1,其他游戏,12+,12.7,SD
80,City Escape: Act1,其他游戏,12+,12.7,SD
81,Rooftop Run: Act1,其他游戏,5,5.0,SD
81,Rooftop Run: Act1,其他游戏,7,7.4,SD
81,Rooftop Run: Act1,其他游戏,11+,11.7,SD
81,Rooftop Run: Act1,其他游戏,12,12.4,SD
81,Rooftop Run: Act1,其他游戏,13,13.2,SD
82,Reach For The Stars,其他游戏,5,5.0,SD
82,Reach For The Stars,其他游戏,8+,8.6,SD
82,Reach For The Stars,其他游戏,10+,10.9,SD
82,Reach For The Stars,其他游戏,13+,13.9,SD
83,Urban Crusher [Remix],其他游戏,6,6.0,SD
83,Urban Crusher [Remix],其他游戏,9,9.1,SD
83,Urban Crusher [Remix],其他游戏,12+,12.7,SD
83,Urban Crusher [Remix],其他游戏,13,13.4,SD
84,Catch The Future,其他游戏,6,6.0,SD
84,Catch The Future,其他游戏,8+,8.7,SD
84,Catch The Future,其他游戏,10+,10.8,SD
84,Catch The Future,其他游戏,12+,12.8,SD
85,JACKY [Remix],其他游戏,4,4.0,SD
85,JACKY [Remix],其他游戏,7,7.5,SD
85,JACKY [Remix],其他游戏,11,11.1,SD
85,JACKY [Remix],其他游戏,13+,13.7,SD
85,JACKY [Remix],其他游戏,14,14.0,SD
100,Tell Your World,niconico & VOCALOID,6,6.0,SD
100,Tell Your World,niconico & VOCALOID,7,7.5,SD
100,Tell Your World,niconico & VOCALOID,10,10.5,SD
100,Tell Your World,niconico & VOCALOID,12,12.4,SD
100,Tell Your World,niconico & VOCALOID,13,13.2,SD
101,おちゃめ機能,niconico & VOCALOID,5,5.0,SD
101,おちゃめ機能,niconico & VOCALOID,8,8.1,SD
101,おちゃめ機能,niconico & VOCALOID,9,9.1,SD
101,おちゃめ機能,niconico & VOCALOID,13+,13.6,SD
102,ダンシング☆サムライ,niconico & VOCALOID,6,6.0,SD
102,ダンシング☆サムライ,niconico & VOCALOID,8,8.2,SD
102,ダンシング☆サムライ,niconico & VOCALOID,11,11.1,SD
102,ダンシング☆サムライ,niconico & VOCALOID,12+,12.7,SD
106,BAD∞END∞NIGHT,niconico & VOCALOID,6,6.0,SD
106,BAD∞END∞NIGHT,niconico & VOCALOID,8+,8.6,SD
106,BAD∞END∞NIGHT,niconico & VOCALOID,10+,10.7,SD
106,BAD∞END∞NIGHT,niconico & VOCALOID,13,13.5,SD
107,ロミオとシンデレラ,niconico & VOCALOID,5,5.0,SD
107,ロミオとシンデレラ,niconico & VOCALOID,8+,8.6,SD
107,ロミオとシンデレラ,niconico & VOCALOID,11,11.1,SD
107,ロミオとシンデレラ,niconico & VOCALOID,12+,12.7,SD
107,ロミオとシンデレラ,niconico & VOCALOID,13,13.3,SD
108,Sweetiex2,niconico & VOCALOID,5,5.0,SD
108,Sweetiex2,niconico & VOCALOID,6,6.9,SD
108,Sweetiex2,niconico & VOCALOID,8,8.5,SD
108,Sweetiex2,niconico & VOCALOID,12,12.4,SD
109,腐れ外道とチョコレゐト,niconico & VOCALOID,6,6.0,SD
109,腐れ外道とチョコレゐト,niconico & VOCALOID,9,9.0,SD
109,腐れ外道とチョコレゐト,niconico & VOCALOID,12+,12.7,SD
109,腐れ外道とチョコレゐト,niconico & VOCALOID,13+,13.7,SD
110,Quartet Theme [Reborn],其他游戏,3,3.0,SD
110,Quartet Theme [Reborn],其他游戏,7,7.3,SD
110,Quartet Theme [Reborn],其他游戏,11+,11.9,SD
110,Quartet Theme [Reborn],其他游戏,12+,12.8,SD
111,Sky High [Reborn],其他游戏,5,5.0,SD
111,Sky High [Reborn],其他游戏,8,8.2,SD
111,Sky High [Reborn],其他游戏,10+,10.7,SD
111,Sky High [Reborn],其他游戏,12+,12.7,SD
111,Sky High [Reborn],其他游戏,12+,12.7,SD
112,Like the Wind [Reborn],其他游戏,6,6.0,SD
112,Like the Wind [Reborn],其他游戏,9,9.0,SD
112,Like the Wind [Reborn],其他游戏,11,11.4,SD
112,Like the Wind [Reborn],其他游戏,14,14.0,SD
113,YA･DA･YO [Reborn],其他游戏,4,4.0,SD
113,YA･DA･YO [Reborn],其他游戏,8+,8.7,SD
113,YA･DA･YO [Reborn],其他游戏,13,13.0,SD
113,YA･DA･YO [Reborn],其他游戏,13,13.4,SD
114,Space Harrier Main Theme [Reborn],其他游戏,6,6.0,SD
114,Space Harrier Main Theme [Reborn],其他游戏,7+,7.6,SD
114,Space Harrier Main Theme [Reborn],其他游戏,11+,11.7,SD
114,Space Harrier Main Theme [Reborn],其他游戏,13+,13.6,SD
115,DADDY MULK -Groove remix-,其他游戏,5,5.0,SD
115,DADDY MULK -Groove remix-,其他游戏,7,7.5,SD
115,DADDY MULK -Groove remix-,其他游戏,12,12.0,SD
115,DADDY MULK -Groove remix-,其他游戏,13+,13.8,SD
115,DADDY MULK -Groove remix-,其他游戏,13+,13.8,SD
116,ぴぴぱぷぅ！,舞萌,3,3.0,SD
116,ぴぴぱぷぅ！,舞萌,8,8.2,SD
116,ぴぴぱぷぅ！,舞萌,11,11.2,SD
116,ぴぴぱぷぅ！,舞萌,13,13.0,SD
117,炎歌 -ほむらうた-,舞萌,4,4.0,SD
117,炎歌 -ほむらうた-,舞萌,7,7.2,SD
117,炎歌 -ほむらうた-,舞萌,12,12.0,SD
117,炎歌 -ほむらうた-,舞萌,13+,13.7,SD
118,犬日和。,舞萌,5,5.0,SD
118,犬日和。,舞萌,7,7.0,SD
118,犬日和。,舞萌,10,10.0,SD
118,犬日和。,舞萌,12,12.4,SD
119,ソーラン☆節,舞萌,6,6.0,SD
119,ソーラン☆節,舞萌,8,8.0,SD
119,ソーラン☆節,舞萌,11,11.4,SD
119,ソーラン☆節,舞萌,13,13.4,SD
120,デコボコ体操第二,其他游戏,5,5.0,SD
120,デコボコ体操第二,其他游戏,6,6.8,SD
120,デコボコ体操第二,其他游戏,9,9.1,SD
120,デコボコ体操第二,其他游戏,10+,10.7,SD
121,スイートマジック,niconico & VOCALOID,4,4.0,SD
121,スイートマジック,niconico & VOCALOID,7,7.1,SD
121,スイートマジック,niconico & VOCALOID,10+,10.7,SD
121,スイートマジック,niconico & VOCALOID,12,12.4,SD
122,ゴーゴー幽霊船,niconico & VOCALOID,5,5.0,SD
122,ゴーゴー幽霊船,niconico & VOCALOID,8,8.2,SD
122,ゴーゴー幽霊船,niconico & VOCALOID,11,11.2,SD
122,ゴーゴー幽霊船,niconico & VOCALOID,12+,12.6,SD
128,御旗のもとに,其他游戏,5,5.0,SD
128,御旗のもとに,其他游戏,7+,7.6,SD
128,御旗のもとに,其他游戏,12,12.1,SD
128,御旗のもとに,其他游戏,12+,12.7,SD
130,FEEL ALIVE,舞萌,6,6.0,SD
130,FEEL ALIVE,舞萌,8+,8.8,SD
130,FEEL ALIVE,舞萌,12,12.1,SD
130,FEEL ALIVE,舞萌,13+,13.7,SD
131,Link,舞萌,6,6.0,SD
131,Link,舞萌,7+,7.8,SD
131,Link,舞萌,12+,12.6,SD
131,Link,舞萌,12,12.5,SD
131,Link,舞萌,13,13.5,SD
132,Turn around,舞萌,6,6.0,SD
132,Turn around,舞萌,8,8.1,SD
132,Turn around,舞萌,13,13.1,SD
132,Turn around,舞萌,13+,13.7,SD
133,We Gonna Party,舞萌,6,6.0,SD
133,We Gonna Party,舞萌,8+,8.6,SD
133,We Gonna Party,舞萌,12+,12.9,SD
133,We Gonna Party,舞萌,13+,13.7,SD
133,We Gonna Party,舞萌,13+,13.9,SD
134,Night Fly,舞萌,3,3.0,SD
134,Night Fly,舞萌,8,8.2,SD
134,Night Fly,舞萌,11+,11.7,SD
134,Night Fly,舞萌,13,13.2,SD
134,Night Fly,舞萌,13,13.4,SD
135,Feel My Fire,舞萌,5,5.0,SD
135,Feel My Fire,舞萌,9,9.1,SD
135,Feel My Fire,舞萌,11,11.1,SD
135,Feel My Fire,舞萌,13,13.2,SD
136,Streak,舞萌,6,6.0,SD
136,Streak,舞萌,8,8.1,SD
136,Streak,舞萌,12+,12.7,SD
136,Streak,舞萌,13+,13.7,SD
137,Spin me harder,舞萌,6,6.0,SD
137,Spin me harder,舞萌,8,8.4,SD
137,Spin me harder,舞萌,12,12.2,SD
137,Spin me harder,舞萌,13,13.4,SD
138,Lionheart,舞萌,6,6.0,SD
138,Lionheart,舞萌,8,8.2,SD
138,Lionheart,舞萌,11,11.4,SD
138,Lionheart,舞萌,13,13.4,SD
139,Acceleration,舞萌,7,7.0,SD
139,Acceleration,舞萌,8+,8.7,SD
139,Acceleration,舞萌,11+,11.9,SD
139,Acceleration,舞萌,13,13.4,SD
140,Sprintrances,舞萌,6,6.0,SD
140,Sprintrances,舞萌,8+,8.6,SD
140,Sprintrances,舞萌,11,11.1,SD
140,Sprintrances,舞萌,13,13.3,SD
141,Nerverakes,舞萌,7,7.0,SD
141,Nerverakes,舞萌,8,8.4,SD
141,Nerverakes,舞萌,11+,11.9,SD
141,Nerverakes,舞萌,14,14.1,SD
142,Black Out,舞萌,6,6.0,SD
142,Black Out,舞萌,8,8.2,SD
142,Black Out,舞萌,13,13.0,SD
142,Black Out,舞萌,13,13.3,SD
143,Fragrance,舞萌,6,6.0,SD
143,Fragrance,舞萌,9,9.3,SD
143,Fragrance,舞萌,12+,12.7,SD
143,Fragrance,舞萌,14,14.2,SD
143,Fragrance,舞萌,14+,14.6,SD
144,air's gravity,舞萌,7,7.0,SD
144,air's gravity,舞萌,8+,8.6,SD
144,air's gravity,舞萌,11,11.3,SD
144,air's gravity,舞萌,13,13.3,SD
144,air's gravity,舞萌,13+,13.7,SD
145,Starlight Disco,舞萌,4,4.0,SD
145,Starlight Disco,舞萌,7+,7.8,SD
145,Starlight Disco,舞萌,11+,11.9,SD
145,Starlight Disco,舞萌,12,12.4,SD
145,Starlight Disco,舞萌,12+,12.7,SD
146,39,niconico & VOCALOID,5,5.0,SD
146,39,niconico & VOCALOID,8+,8.6,SD
146,39,niconico & VOCALOID,11,11.2,SD
146,39,niconico & VOCALOID,12+,12.9,SD
146,39,niconico & VOCALOID,13,13.4,SD
147,地上の戦士,其他游戏,5,5.0,SD
147,地上の戦士,其他游戏,7+,7.7,SD
147,地上の戦士,其他游戏,11,11.4,SD
147,地上の戦士,其他游戏,12+,12.7,SD
152,超絶！Superlative,其他游戏,6,6.0,SD
152,超絶！Superlative,其他游戏,8+,8.7,SD
152,超絶！Superlative,其他游戏,11+,11.8,SD
152,超絶！Superlative,其他游戏,13,13.2,SD
153,采配の刻 Power of order,其他游戏,6,6.0,SD
153,采配の刻 Power of order,其他游戏,8+,8.6,SD
153,采配の刻 Power of order,其他游戏,11+,11.9,SD
153,采配の刻 Power of order,其他游戏,13,13.2,SD
154,DO RORO DERODERO ON DO RORO,其他游戏,6,6.0,SD
154,DO RORO DERODERO ON DO RORO,其他游戏,8+,8.9,SD
154,DO RORO DERODERO ON DO RORO,其他游戏,13,13.2,SD
154,DO RORO DERODERO ON DO RORO,其他游戏,13+,13.7,SD
155,泣き虫O'clock,舞萌,4,4.0,SD
155,泣き虫O'clock,舞萌,8,8.1,SD
155,泣き虫O'clock,舞萌,10+,10.9,SD
155,泣き虫O'clock,舞萌,13,13.2,SD
155,泣き虫O'clock,舞萌,12+,12.9,SD
157,Natural Flow,其他游戏,4,4.0,SD
157,Natural Flow,其他游戏,7+,7.9,SD
157,Natural Flow,其他游戏,11+,11.8,SD
157,Natural Flow,其他游戏,12+,12.6,SD
159,maimaiちゃんのテーマ,舞萌,5,5.0,SD
159,maimaiちゃんのテーマ,舞萌,7,7.1,SD
159,maimaiちゃんのテーマ,舞萌,9,9.3,SD
159,maimaiちゃんのテーマ,舞萌,12,12.4,SD
184,I ♥,niconico & VOCALOID,5,5.0,SD
184,I ♥,niconico & VOCALOID,7+,7.7,SD
184,I ♥,niconico & VOCALOID,9,9.4,SD
184,I ♥,niconico & VOCALOID,12+,12.7,SD
185,＊ハロー、プラネット。,niconico & VOCALOID,3,3.0,SD
185,＊ハロー、プラネット。,niconico & VOCALOID,6,6.8,SD
185,＊ハロー、プラネット。,niconico & VOCALOID,9+,9.6,SD
185,＊ハロー、プラネット。,niconico & VOCALOID,12+,12.8,SD
186,イアイア★ナイトオブデザイア,niconico & VOCALOID,5,5.0,SD
186,イアイア★ナイトオブデザイア,niconico & VOCALOID,7,7.3,SD
186,イアイア★ナイトオブデザイア,niconico & VOCALOID,9+,9.8,SD
186,イアイア★ナイトオブデザイア,niconico & VOCALOID,11,11.2,SD
187,ローリンガール,niconico & VOCALOID,4,4.0,SD
187,ローリンガール,niconico & VOCALOID,7,7.4,SD
187,ローリンガール,niconico & VOCALOID,9+,9.8,SD
187,ローリンガール,niconico & VOCALOID,13,13.2,SD
188,天ノ弱,niconico & VOCALOID,4,4.0,SD
188,天ノ弱,niconico & VOCALOID,8,8.4,SD
188,天ノ弱,niconico & VOCALOID,11,11.0,SD
188,天ノ弱,niconico & VOCALOID,13,13.3,SD
189,弱虫モンブラン,niconico & VOCALOID,4,4.0,SD
189,弱虫モンブラン,niconico & VOCALOID,7,7.0,SD
189,弱虫モンブラン,niconico & VOCALOID,10+,10.9,SD
189,弱虫モンブラン,niconico & VOCALOID,12+,12.7,SD
190,モザイクロール,niconico & VOCALOID,3,3.0,SD
190,モザイクロール,niconico & VOCALOID,7+,7.7,SD
190,モザイクロール,niconico & VOCALOID,10+,10.7,SD
190,モザイクロール,niconico & VOCALOID,12+,12.7,SD
191,脳漿炸裂ガール,niconico & VOCALOID,5,5.0,SD
191,脳漿炸裂ガール,niconico & VOCALOID,7,7.1,SD
191,脳漿炸裂ガール,niconico & VOCALOID,12+,12.7,SD
191,脳漿炸裂ガール,niconico & VOCALOID,14,14.1,SD
193,セツナトリップ,niconico & VOCALOID,5,5.0,SD
193,セツナトリップ,niconico & VOCALOID,7+,7.6,SD
193,セツナトリップ,niconico & VOCALOID,11,11.0,SD
193,セツナトリップ,niconico & VOCALOID,13,13.3,SD
194,放課後ストライド,niconico & VOCALOID,5,5.0,SD
194,放課後ストライド,niconico & VOCALOID,8,8.4,SD
194,放課後ストライド,niconico & VOCALOID,10+,10.7,SD
194,放課後ストライド,niconico & VOCALOID,13,13.3,SD
198,カゲロウデイズ,niconico & VOCALOID,5,5.0,SD
198,カゲロウデイズ,niconico & VOCALOID,7,7.0,SD
198,カゲロウデイズ,niconico & VOCALOID,11+,11.7,SD
198,カゲロウデイズ,niconico & VOCALOID,13,13.2,SD
198,カゲロウデイズ,niconico & VOCALOID,14,14.1,SD
199,チルノのパーフェクトさんすう教室,东方Project,3,3.0,SD
199,チルノのパーフェクトさんすう教室,东方Project,7,7.2,SD
199,チルノのパーフェクトさんすう教室,东方Project,10,10.4,SD
199,チルノのパーフェクトさんすう教室,东方Project,12+,12.9,SD
200,Bad Apple!! feat nomico,东方Project,3,3.0,SD
200,Bad Apple!! feat nomico,东方Project,6,6.8,SD
200,Bad Apple!! feat nomico,东方Project,10+,10.6,SD
200,Bad Apple!! feat nomico,东方Project,12,12.5,SD
200,Bad Apple!! feat nomico,东方Project,13,13.3,SD
201,魔理沙は大変なものを盗んでいきました,东方Project,6,6.0,SD
201,魔理沙は大変なものを盗んでいきました,东方Project,7,7.2,SD
201,魔理沙は大変なものを盗んでいきました,东方Project,9,9.5,SD
201,魔理沙は大変なものを盗んでいきました,东方Project,13,13.3,SD
202,Grip & Break down !!,东方Project,4,4.0,SD
202,Grip & Break down !!,东方Project,7,7.0,SD
202,Grip & Break down !!,东方Project,9+,9.7,SD
202,Grip & Break down !!,东方Project,13,13.4,SD
203,"Help me, ERINNNNNN!!",东方Project,6,6.0,SD
203,"Help me, ERINNNNNN!!",东方Project,7,7.0,SD
203,"Help me, ERINNNNNN!!",东方Project,11+,11.6,SD
203,"Help me, ERINNNNNN!!",东方Project,12,12.5,SD
204,ナイト・オブ・ナイツ,东方Project,4,4.0,SD
204,ナイト・オブ・ナイツ,东方Project,8,8.0,SD
204,ナイト・オブ・ナイツ,东方Project,12,12.0,SD
204,ナイト・オブ・ナイツ,东方Project,13,13.3,SD
204,ナイト・オブ・ナイツ,东方Project,14,14.4,SD
205,全人類ノ非想天則,东方Project,4,4.0,SD
205,全人類ノ非想天則,东方Project,7+,7.9,SD
205,全人類ノ非想天則,东方Project,10+,10.6,SD
205,全人類ノ非想天則,东方Project,13,13.2,SD
206,しゅわスパ大作戦☆,东方Project,5,5.0,SD
206,しゅわスパ大作戦☆,东方Project,7,7.5,SD
206,しゅわスパ大作戦☆,东方Project,9+,9.9,SD
206,しゅわスパ大作戦☆,东方Project,12+,12.7,SD
207,時空を超えて久しぶり！,其他游戏,3,3.0,SD
207,時空を超えて久しぶり！,其他游戏,6,6.2,SD
207,時空を超えて久しぶり！,其他游戏,10,10.3,SD
207,時空を超えて久しぶり！,其他游戏,12+,12.7,SD
208,Her Dream Is To Be A Fantastic Sorceress,其他游戏,2,2.0,SD
208,Her Dream Is To Be A Fantastic Sorceress,其他游戏,6,6.8,SD
208,Her Dream Is To Be A Fantastic Sorceress,其他游戏,10+,10.9,SD
208,Her Dream Is To Be A Fantastic Sorceress,其他游戏,12,12.0,SD
209,ココロスキャンのうた,其他游戏,5,5.0,SD
209,ココロスキャンのうた,其他游戏,7,7.5,SD
209,ココロスキャンのうた,其他游戏,11,11.3,SD
209,ココロスキャンのうた,其他游戏,13+,13.8,SD
212,神室雪月花,其他游戏,2,2.0,SD
212,神室雪月花,其他游戏,7+,7.7,SD
212,神室雪月花,其他游戏,12,12.2,SD
212,神室雪月花,其他游戏,12+,12.7,SD
213,KONNANじゃないっ！,其他游戏,5,5.0,SD
213,KONNANじゃないっ！,其他游戏,6,6.8,SD
213,KONNANじゃないっ！,其他游戏,9,9.0,SD
213,KONNANじゃないっ！,其他游戏,13,13.4,SD
214,awake,其他游戏,4,4.0,SD
214,awake,其他游戏,8,8.5,SD
214,awake,其他游戏,9,9.3,SD
214,awake,其他游戏,13,13.2,SD
216,Mysterious Destiny,其他游戏,4,4.0,SD
216,Mysterious Destiny,其他游戏,7,7.5,SD
216,Mysterious Destiny,其他游戏,12+,12.7,SD
216,Mysterious Destiny,其他游戏,13,13.3,SD
217,Riders Of The Light,其他游戏,4,4.0,SD
217,Riders Of The Light,其他游戏,7,7.4,SD
217,Riders Of The Light,其他游戏,11+,11.7,SD
217,Riders Of The Light,其他游戏,12+,12.6,SD
218,Terminal Storm,其他游戏,3,3.0,SD
